*	* |
vượng	VI ƯƠN_1 NGC_1 |
liêng	LI IÊN_0 NGC_0 |
khố	KHI ÔN_5 |
ngùng	NGI UN_4 NGC_4 |
cọp	KI ON2_1 PC_1 |
híp	HI IN_5 PC_5 |
um	UN_0 MC_0 |
gọt	GI ON2_1 TC_1 |
ờm	ƠN_4 MC_4 |
nhói	NHI ON2_5 IC_5 |
áy	AN3_5 YC_5 |
náy	NI AN3_5 YC_5 |
điếc	DI IÊN_5 KC_5 |
vần	VI ÂN_4 NC_4 |
rông	RI ÔN_0 NGC_0 |
thuỷ	THI UN_2 YC_2 |
v	VI |
bung	BI UN_0 NGC_0 |
rình	RI IN_4 NGC_4 |
trác	TRI AN1_5 KC_5 |
nới	NI ƠN_5 IC_5 |
dẫu	ZI ÂN_3 UC_3 |
rượt	RI ƯƠN_1 TC_1 |
liếm	LI IÊN_5 MC_5 |
đẫy	DI ÂN_3 YC_3 |
mếch	MI ÊN_5 KC_5 |
xấp	XI ÂN_5 PC_5 |
vớ	VI ƠC_5 |
bự	BI ƯC_1 |
líu	LI IN_5 UC_5 |
láng	LI AN1_5 NGC_5 |
mạ	MI AN2_1 |
thớt	THI ƠN_5 TC_5 |
tuỳ	TI UN_4 YC_4 |
tóe	TI WO_5 EN_5 |
thự	THI ƯC_1 |
nặc	NI AN3_1 KC_1 |
hước	HI ƯƠN_5 KC_5 |
dòm	ZI ON2_4 MC_4 |
vòi	VI ON2_4 IC_4 |
xịt	XI IN_1 TC_1 |
xú	XI UN_5 |
bốp	BI ÔN_5 PC_5 |
chủy	CHI UN_2 YC_2 |
ci	KI IN_0 |
tuột	TI UÔN_1 TC_1 |
ỏi	ON2_2 IC_2 |
loay	LI WO_0 AN3_0 YC_0 |
chờn	CHI ƠN_4 NC_4 |
cụt	KI UN_1 TC_1 |
khỏa	KHI WO_2 AN2_2 |
gộp	GI ÔN_1 PC_1 |
sắn	SI AN3_5 NC_5 |
lỏi	LI ON2_2 IC_2 |
thốn	THI ÔN_5 NC_5 |
giăng	ZI AN3_0 NGC_0 |
băm	BI AN3_0 MC_0 |
dẻ	ZI EN_2 |
nhạo	NHI AN2_1 UC_1 |
sủng	SI UN_2 NGC_2 |
phớt	PHI ƠN_5 TC_5 |
hoạ	HI WO_1 AN2_1 |
cọng	KI ON1_1 NGC_1 |
hoay	HI WO_0 AN3_0 YC_0 |
ken	KI EN_0 NC_0 |
bướng	BI ƯƠN_5 NGC_5 |
ngòi	NGI ON2_4 IC_4 |
sấy	SI ÂN_5 YC_5 |
cọ	KI ON2_1 |
súp	SI UN_5 PC_5 |
phôi	PHI ÔN_0 IC_0 |
niêm	NI IÊN_0 MC_0 |
goai	GI WO_0 AN2_0 IC_0 |
phàn	PHI AN2_4 NC_4 |
lìa	LI IAN_4 |
xẻo	XI EN_2 UC_2 |
xắn	XI AN3_5 NC_5 |
xéo	XI EN_5 UC_5 |
sấp	SI ÂN_5 PC_5 |
đanh	DI AN1_0 NGC_0 |
ghe	GI EN_0 |
diếm	ZI IÊN_5 MC_5 |
ngõa	NGI WO_3 AN2_3 |
hoả	HI WO_2 AN2_2 |
cac	KI AN1_0 KC_0 |
rang	RI AN1_0 NGC_0 |
go	GI ON2_0 |
đèo	DI EN_4 UC_4 |
xướng	XI ƯƠN_5 NGC_5 |
bầm	BI ÂN_4 MC_4 |
guốc	GI UÔN_5 KC_5 |
tiều	TI IÊN_4 UC_4 |
ngớ	NGI ƠC_5 |
nhoẻn	NHI WO_2 EN_2 NC_2 |
phắt	PHI AN3_5 TC_5 |
xuẩn	XI WO_2 ÂN_2 NC_2 |
nu	NI UN_0 |
tòi	TI ON2_4 IC_4 |
thụt	THI UN_1 TC_1 |
vàn	VI AN2_4 NC_4 |
vỉa	VI IAN_2 |
rổ	RI ÔN_2 |
nhỡ	NHI ƠC_3 |
úi	UN_5 IC_5 |
bặt	BI AN3_1 TC_1 |
ke	KI EN_0 |
phốc	PHI ÔN_5 KC_5 |
rèm	RI EN_4 MC_4 |
nỉ	NI IN_2 |
thạnh	THI AN1_1 NGC_1 |
mỉa	MI IAN_2 |
đần	DI ÂN_4 NC_4 |
còi	KI ON2_4 IC_4 |
thuấn	THI WO_5 ÂN_5 NC_5 |
ngửng	NGI ƯN_2 NGC_2 |
chem	CHI EN_0 MC_0 |
dấn	ZI ÂN_5 NC_5 |
nhứt	NHI ƯN_5 TC_5 |
dùm	ZI UN_4 MC_4 |
hun	HI UN_0 NC_0 |
đì	DI IN_4 |
ngói	NGI ON2_5 IC_5 |
tị	TI IN_1 |
chan	CHI AN2_0 NC_0 |
ắt	AN3_5 TC_5 |
hổn	HI ÔN_2 NC_2 |
vích	VI IN_5 KC_5 |
sặc	SI AN3_1 KC_1 |
huỷ	HI UN_2 YC_2 |
duệ	ZI WO_1 ÊN_1 |
rền	RI ÊN_4 NC_4 |
mảy	MI AN3_2 YC_2 |
phở	PHI ƠC_2 |
lon	LI ON2_0 NC_0 |
xáo	XI AN2_5 UC_5 |
dầy	ZI ÂN_4 YC_4 |
viếng	VI IÊN_5 NGC_5 |
choàng	CHI WO_4 AN1_4 NGC_4 |
noi	NI ON2_0 IC_0 |
lượm	LI ƯƠN_1 MC_1 |
giun	ZI UN_0 NC_0 |
răn	RI AN3_0 NC_0 |
vượn	VI ƯƠN_1 NC_1 |
sính	SI IN_5 NGC_5 |
toi	TI ON2_0 IC_0 |
oang	WO_0 AN1_0 NGC_0 |
côi	KI ÔN_0 IC_0 |
bới	BI ƠN_5 IC_5 |
gàng	GI AN1_4 NGC_4 |
tòng	TI ON1_4 NGC_4 |
búp	BI UN_5 PC_5 |
biếng	BI IÊN_5 NGC_5 |
quýt	KI WO_5 IN_5 TC_5 |
rãnh	RI AN1_3 NGC_3 |
quầy	KI WO_4 ÂN_4 YC_4 |
uẩn	WO_2 ÂN_2 NC_2 |
thót	THI ON2_5 TC_5 |
thào	THI AN2_4 UC_4 |
thoi	THI ON2_0 IC_0 |
phót	PHI ON2_5 TC_5 |
trau	TRI AN3_0 UC_0 |
lã	LI AN2_3 |
chèn	CHI EN_4 NC_4 |
riết	RI IÊN_5 TC_5 |
phăng	PHI AN3_0 NGC_0 |
cốp	KI ÔN_5 PC_5 |
mịn	MI IN_1 NC_1 |
chồm	CHI ÔN_4 MC_4 |
hững	HI ƯN_3 NGC_3 |
miến	MI IÊN_5 NC_5 |
ngoa	NGI WO_0 AN2_0 |
vec	VI EN_0 KC_0 |
nghẹt	NGI EN_1 TC_1 |
ngáy	NGI AN3_5 YC_5 |
nàn	NI AN2_4 NC_4 |
sing	SI IN_0 NGC_0 |
triền	TRI IÊN_4 NC_4 |
xẻ	XI EN_2 |
ngổn	NGI ÔN_2 NC_2 |
đít	DI IN_5 TC_5 |
sành	SI AN1_4 NGC_4 |
sỏi	SI ON2_2 IC_2 |
nhẽ	NHI EN_3 |
gập	GI ÂN_1 PC_1 |
dơi	ZI ƠN_0 IC_0 |
khất	KHI ÂN_5 TC_5 |
lép	LI EN_5 PC_5 |
miểu	MI IÊN_2 UC_2 |
trố	TRI ÔN_5 |
chững	CHI ƯN_3 NGC_3 |
hũ	HI UN_3 |
lia	LI IAN_0 |
khiếm	KHI IÊN_5 MC_5 |
bìa	BI IAN_4 |
rè	RI EN_4 |
vẩn	VI ÂN_2 NC_2 |
xoắn	XI WO_5 AN3_5 NC_5 |
nghê	NGI ÊN_0 |
sộ	SI ÔN_1 |
giễu	ZI ÊN_3 UC_3 |
uông	UÔN_0 NGC_0 |
nỏ	NI ON2_2 |
ngút	NGI UN_5 TC_5 |
tuồng	TI UÔN_4 NGC_4 |
lầy	LI ÂN_4 YC_4 |
ứa	ƯƠN_5 |
nhái	NHI AN2_5 IC_5 |
lả	LI AN2_2 |
rạn	RI AN2_1 NC_1 |
hển	HI ÊN_2 NC_2 |
chừ	CHI ƯC_4 |
khảm	KHI AN2_2 MC_2 |
rây	RI ÂN_0 YC_0 |
thịch	THI IN_1 KC_1 |
hu	HI UN_0 |
soạt	SI WO_1 AN2_1 TC_1 |
trim	TRI IN_0 MC_0 |
xay	XI AN3_0 YC_0 |
kiêm	KI IÊN_0 MC_0 |
rần	RI ÂN_4 NC_4 |
hăm	HI AN3_0 MC_0 |
om	ON2_0 MC_0 |
đút	DI UN_5 TC_5 |
rĩ	RI IN_3 |
gang	GI AN1_0 NGC_0 |
trạc	TRI AN1_1 KC_1 |
hạm	HI AN2_1 MC_1 |
trẫm	TRI ÂN_3 MC_3 |
nây	NI ÂN_0 YC_0 |
sệt	SI ÊN_1 TC_1 |
dầm	ZI ÂN_4 MC_4 |
nhè	NHI EN_4 |
cưa	KI ƯƠN_0 |
nách	NI AN1_5 KC_5 |
giằng	ZI AN3_4 NGC_4 |
dờ	ZI ƠC_4 |
tỉm	TI IN_2 MC_2 |
khong	KHI ON1_0 NGC_0 |
trù	TRI UN_4 |
bèo	BI EN_4 UC_4 |
đong	DI ON1_0 NGC_0 |
rơm	RI ƠN_0 MC_0 |
ì	IN_4 |
lốp	LI ÔN_5 PC_5 |
cạp	KI AN2_1 PC_1 |
ngỏ	NGI ON2_2 |
k	KI |
điu	DI IN_0 UC_0 |
mướn	MI ƯƠN_5 NC_5 |
dốt	ZI ÔN_5 TC_5 |
dãi	ZI AN2_3 IC_3 |
bịch	BI IN_1 KC_1 |
dìu	ZI IN_4 UC_4 |
lòi	LI ON2_4 IC_4 |
trô	TRI ÔN_0 |
rồ	RI ÔN_4 |
héo	HI EN_5 UC_5 |
nháo	NHI AN2_5 UC_5 |
vo	VI ON2_0 |
hanh	HI AN1_0 NGC_0 |
lim	LI IN_0 MC_0 |
gâu	GI ÂN_0 UC_0 |
kít	KI IN_5 TC_5 |
chếch	CHI ÊN_5 KC_5 |
mot	MI ON2_0 TC_0 |
cạm	KI AN2_1 MC_1 |
múc	MI UN_5 KC_5 |
vồng	VI ÔN_4 NGC_4 |
gặm	GI AN3_1 MC_1 |
khét	KHI EN_5 TC_5 |
chì	CHI IN_4 |
re	RI EN_0 |
bêu	BI ÊN_0 UC_0 |
giê	ZI ÊN_0 |
tủm	TI UN_2 MC_2 |
nồ	NI ÔN_4 |
túm	TI UN_5 MC_5 |
níu	NI IN_5 UC_5 |
gắp	GI AN3_5 PC_5 |
xuyến	XI WO_5 YÊN_5 NC_5 |
nhang	NHI AN1_0 NGC_0 |
vạ	VI AN2_1 |
lấm	LI ÂN_5 MC_5 |
nép	NI EN_5 PC_5 |
cội	KI ÔN_1 IC_1 |
ky	KI IN_0 |
vơi	VI ƠN_0 IC_0 |
sóp	SI ON2_5 PC_5 |
uỷ	UN_2 YC_2 |
hửng	HI ƯN_2 NGC_2 |
gặt	GI AN3_1 TC_1 |
guy	GI UN_0 YC_0 |
dút	ZI UN_5 TC_5 |
nghẽn	NGI EN_3 NC_3 |
xỉa	XI IAN_2 |
phả	PHI AN2_2 |
lề	LI ÊN_4 |
hức	HI ƯN_5 KC_5 |
bịa	BI IAN_1 |
phà	PHI AN2_4 |
tỵ	TI IN_1 |
ran	RI AN2_0 NC_0 |
óe	WO_5 EN_5 |
giảo	ZI AN2_2 UC_2 |
xoạt	XI WO_1 AN2_1 TC_1 |
thoả	THI WO_2 AN2_2 |
duẫn	ZI WO_3 ÂN_3 NC_3 |
chuộng	CHI UÔN_1 NGC_1 |
ẩu	ÂN_2 UC_2 |
thúi	THI UN_5 IC_5 |
xúi	XI UN_5 IC_5 |
nhót	NHI ON2_5 TC_5 |
mải	MI AN2_2 IC_2 |
dãn	ZI AN2_3 NC_3 |
cõng	KI ON1_3 NGC_3 |
nguôi	NGI UÔN_0 IC_0 |
đuốc	DI UÔN_5 KC_5 |
síp	SI IN_5 PC_5 |
rủa	RI UÔN_2 |
hòm	HI ON2_4 MC_4 |
cáu	KI AN3_5 UC_5 |
nũng	NI UN_3 NGC_3 |
chùi	CHI UN_4 IC_4 |
đếch	DI ÊN_5 KC_5 |
rin	RI IN_0 NC_0 |
vẳng	VI AN3_2 NGC_2 |
sòng	SI ON1_4 NGC_4 |
giàn	ZI AN2_4 NC_4 |
chảo	CHI AN2_2 UC_2 |
nhàm	NHI AN2_4 MC_4 |
ngàng	NGI AN1_4 NGC_4 |
mương	MI ƯƠN_0 NGC_0 |
mạt	MI AN2_1 TC_1 |
sả	SI AN2_2 |
đực	DI ƯN_1 KC_1 |
lồi	LI ÔN_4 IC_4 |
veo	VI EN_0 UC_0 |
mọn	MI ON2_1 NC_1 |
ngầu	NGI ÂN_4 UC_4 |
nen	NI EN_0 NC_0 |
xo	XI ON2_0 |
lum	LI UN_0 MC_0 |
mía	MI IAN_5 |
lác	LI AN1_5 KC_5 |
sạc	SI AN1_1 KC_1 |
bỉnh	BI IN_2 NGC_2 |
thui	THI UN_0 IC_0 |
mích	MI IN_5 KC_5 |
sưa	SI ƯƠN_0 |
thố	THI ÔN_5 |
rết	RI ÊN_5 TC_5 |
nanh	NI AN1_0 NGC_0 |
vẻn	VI EN_2 NC_2 |
sọ	SI ON2_1 |
gút	GI UN_5 TC_5 |
yếm	YÊN_5 MC_5 |
xuồng	XI UÔN_4 NGC_4 |
hời	HI ƠN_4 IC_4 |
dấy	ZI ÂN_5 YC_5 |
lườm	LI ƯƠN_4 MC_4 |
sải	SI AN2_2 IC_2 |
l	LI |
dụa	ZI UÔN_1 |
dỗi	ZI ÔN_3 IC_3 |
ngách	NGI AN1_5 KC_5 |
ù	UN_4 |
ế	ÊN_5 |
sần	SI ÂN_4 NC_4 |
que	KI WO_0 EN_0 |
thóc	THI ON1_5 KC_5 |
ĩ	IN_3 |
rưng	RI ƯN_0 NGC_0 |
xâu	XI ÂN_0 UC_0 |
mêu	MI ÊN_0 UC_0 |
cấn	KI ÂN_5 NC_5 |
tróc	TRI ON1_5 KC_5 |
cẳng	KI AN3_2 NGC_2 |
thím	THI IN_5 MC_5 |
khiên	KHI IÊN_0 NC_0 |
đản	DI AN2_2 NC_2 |
bĩu	BI IN_3 UC_3 |
phập	PHI ÂN_1 PC_1 |
g	GI |
khoẻ	KHI WO_2 EN_2 |
liễm	LI IÊN_3 MC_3 |
kon	KI ON2_0 NC_0 |
goét	GI WO_5 EN_5 TC_5 |
éo	EN_5 UC_5 |
chải	CHI AN2_2 IC_2 |
lọi	LI ON2_1 IC_1 |
xộn	XI ÔN_1 NC_1 |
thẫm	THI ÂN_3 MC_3 |
loãng	LI WO_3 AN1_3 NGC_3 |
lựu	LI ƯN_1 UC_1 |
lươn	LI ƯƠN_0 NC_0 |
chau	CHI AN3_0 UC_0 |
táp	TI AN2_5 PC_5 |
hống	HI ÔN_5 NGC_5 |
đĩnh	DI IN_3 NGC_3 |
trây	TRI ÂN_0 YC_0 |
phủi	PHI UN_2 IC_2 |
đừn	DI ƯN_4 NC_4 |
chông	CHI ÔN_0 NGC_0 |
tuốt	TI UÔN_5 TC_5 |
đật	DI ÂN_1 TC_1 |
bói	BI ON2_5 IC_5 |
sim	SI IN_0 MC_0 |
toại	TI WO_1 AN2_1 IC_1 |
quai	KI UÔN_0 IC_0 |
chồn	CHI ÔN_4 NC_4 |
nẻo	NI EN_2 UC_2 |
tởm	TI ƠN_2 MC_2 |
oải	WO_2 AN2_2 IC_2 |
bun	BI UN_0 NC_0 |
oi	ON2_0 IC_0 |
vòm	VI ON2_4 MC_4 |
nõn	NI ON2_3 NC_3 |
thừng	THI ƯN_4 NGC_4 |
quơ	KI UN_0 ƠC_0 |
lè	LI EN_4 |
nhồi	NHI ÔN_4 IC_4 |
mách	MI AN1_5 KC_5 |
ú	UN_5 |
tụy	TI UN_1 YC_1 |
tể	TI ÊN_2 |
thiều	THI IÊN_4 UC_4 |
nghinh	NGI IN_0 NGC_0 |
đẩu	DI ÂN_2 UC_2 |
cang	KI AN1_0 NGC_0 |
khăng	KHI AN3_0 NGC_0 |
đìa	DI IAN_4 |
lâng	LI ÂN_0 NGC_0 |
nết	NI ÊN_5 TC_5 |
vạm	VI AN2_1 MC_1 |
mó	MI ON2_5 |
cổn	KI ÔN_2 NC_2 |
trát	TRI AN2_5 TC_5 |
ớn	ƠN_5 NC_5 |
hiềm	HI IÊN_4 MC_4 |
hớp	HI ƠN_5 PC_5 |
nấc	NI ÂN_5 KC_5 |
yểu	YÊN_2 UC_2 |
xù	XI UN_4 |
véo	VI EN_5 UC_5 |
guây	GI WO_0 ÂN_0 YC_0 |
lôn	LI ÔN_0 NC_0 |
vụng	VI UN_1 NGC_1 |
mần	MI ÂN_4 NC_4 |
đỗi	DI ÔN_3 IC_3 |
vãng	VI AN1_3 NGC_3 |
nhãi	NHI AN2_3 IC_3 |
cằn	KI AN3_4 NC_4 |
liu	LI IN_0 UC_0 |
nám	NI AN2_5 MC_5 |
vênh	VI ÊN_0 NGC_0 |
đin	DI IN_0 NC_0 |
km	KI MC_0 |
giếm	ZI ÊN_5 MC_5 |
bùa	BI UÔN_4 |
phết	PHI ÊN_5 TC_5 |
tỉa	TI IAN_2 |
trót	TRI ON2_5 TC_5 |
tàm	TI AN2_4 MC_4 |
gươm	GI ƯƠN_0 MC_0 |
phướng	PHI ƯƠN_5 NGC_5 |
oản	WO_2 AN2_2 NC_2 |
hậm	HI ÂN_1 MC_1 |
lùm	LI UN_4 MC_4 |
dậm	ZI ÂN_1 MC_1 |
nguyền	NGI WO_4 YÊN_4 NC_4 |
khắt	KHI AN3_5 TC_5 |
nhuần	NHI WO_4 ÂN_4 NC_4 |
cạo	KI AN2_1 UC_1 |
gơ	GI ƠC_0 |
trọt	TRI ON2_1 TC_1 |
kén	KI EN_5 NC_5 |
mím	MI IN_5 MC_5 |
thửa	THI ƯƠN_2 |
ngoảnh	NGI WO_2 AN1_2 NGC_2 |
khựng	KHI ƯN_1 NGC_1 |
phông	PHI ÔN_0 NGC_0 |
khờ	KHI ƠC_4 |
vưu	VI ƯN_0 UC_0 |
guân	GI WO_0 ÂN_0 NC_0 |
thạc	THI AN1_1 KC_1 |
gồng	GI ÔN_4 NGC_4 |
thuyên	THI WO_0 YÊN_0 NC_0 |
tẻ	TI EN_2 |
hiu	HI IN_0 UC_0 |
viu	VI IN_0 UC_0 |
uể	WO_2 ÊN_2 |
kịt	KI IN_1 TC_1 |
sì	SI IN_4 |
nọt	NI ON2_1 TC_1 |
tóp	TI ON2_5 PC_5 |
chảnh	CHI AN1_2 NGC_2 |
xòe	XI WO_4 EN_4 |
khẩy	KHI ÂN_2 YC_2 |
rơ	RI ƠC_0 |
rúng	RI UN_5 NGC_5 |
leng	LI EN_0 NGC_0 |
ko	KI ON2_0 |
khưu	KHI ƯN_0 UC_0 |
ngát	NGI AN2_5 TC_5 |
phạn	PHI AN2_1 NC_1 |
xõa	XI WO_3 AN2_3 |
chắt	CHI AN3_5 TC_5 |
tảo	TI AN2_2 UC_2 |
nầy	NI ÂN_4 YC_4 |
ót	ON2_5 TC_5 |
dăm	ZI AN3_0 MC_0 |
khuấy	KHI WO_5 ÂN_5 YC_5 |
vôi	VI ÔN_0 IC_0 |
dậu	ZI ÂN_1 UC_1 |
chửng	CHI ƯN_2 NGC_2 |
mễ	MI ÊN_3 |
sái	SI AN2_5 IC_5 |
hâu	HI ÂN_0 UC_0 |
lạch	LI AN1_1 KC_1 |
lảnh	LI AN1_2 NGC_2 |
loé	LI WO_5 EN_5 |
trồi	TRI ÔN_4 IC_4 |
dí	ZI IN_5 |
ươm	ƯƠN_0 MC_0 |
mấp	MI ÂN_5 PC_5 |
ganh	GI AN1_0 NGC_0 |
lõng	LI ON1_3 NGC_3 |
cóp	KI ON2_5 PC_5 |
kèn	KI EN_4 NC_4 |
phồn	PHI ÔN_4 NC_4 |
hoằng	HI WO_4 AN3_4 NGC_4 |
tho	THI ON2_0 |
sậm	SI ÂN_1 MC_1 |
chít	CHI IN_5 TC_5 |
tren	TRI EN_0 NC_0 |
chô	CHI ÔN_0 |
mượt	MI ƯƠN_1 TC_1 |
miu	MI IN_0 UC_0 |
dĩa	ZI IAN_3 |
ùa	UÔN_4 |
nôi	NI ÔN_0 IC_0 |
trối	TRI ÔN_5 IC_5 |
sấu	SI ÂN_5 UC_5 |
gở	GI ƠC_2 |
gôn	GI ÔN_0 NC_0 |
bâng	BI ÂN_0 NGC_0 |
khua	KHI UÔN_0 |
mun	MI UN_0 NC_0 |
xoe	XI WO_0 EN_0 |
bịnh	BI IN_1 NGC_1 |
rúp	RI UN_5 PC_5 |
chạc	CHI AN1_1 KC_1 |
hứ	HI ƯC_5 |
dặt	ZI AN3_1 TC_1 |
sít	SI IN_5 TC_5 |
ưm	ƯN_0 MC_0 |
gài	GI AN2_4 IC_4 |
xờ	XI ƠC_4 |
xiêu	XI IÊN_0 UC_0 |
quyện	KI WO_1 YÊN_1 NC_1 |
riêu	RI IÊN_0 UC_0 |
chíp	CHI IN_5 PC_5 |
xốc	XI ÔN_5 KC_5 |
gao	GI AN2_0 UC_0 |
lóa	LI WO_5 AN2_5 |
ngìn	NGI IN_4 NC_4 |
lừn	LI ƯN_4 NC_4 |
đát	DI AN2_5 TC_5 |
nớt	NI ƠN_5 TC_5 |
lịa	LI IAN_1 |
quáng	KI UÔN_5 NGC_5 |
nhằn	NHI AN3_4 NC_4 |
đóm	DI ON2_5 MC_5 |
phúng	PHI UN_5 NGC_5 |
mút	MI UN_5 TC_5 |
tè	TI EN_4 |
dim	ZI IN_0 MC_0 |
deo	ZI EN_0 UC_0 |
goa	GI WO_0 AN2_0 |
tợ	TI ƠC_1 |
xoong	XI WO_0 ON1_0 NGC_0 |
hợt	HI ƠN_1 TC_1 |
dề	ZI ÊN_4 |
luồn	LI UÔN_4 NC_4 |
mả	MI AN2_2 |
bấp	BI ÂN_5 PC_5 |
khoét	KHI WO_5 EN_5 TC_5 |
nhó	NHI ON2_5 |
quạ	KI UÔN_1 |
ất	ÂN_5 TC_5 |
tíc	TI IN_5 KC_5 |
ne	NI EN_0 |
thỏm	THI ON2_2 MC_2 |
nốc	NI ÔN_5 KC_5 |
ng	NGI |
miện	MI IÊN_1 NC_1 |
nập	NI ÂN_1 PC_1 |
biếu	BI IÊN_5 UC_5 |
giậm	ZI ÂN_1 MC_1 |
lố	LI ÔN_5 |
choi	CHI ON2_0 IC_0 |
gắm	GI AN3_5 MC_5 |
mè	MI EN_4 |
giựt	ZI ƯN_1 TC_1 |
mồng	MI ÔN_4 NGC_4 |
lòa	LI WO_4 AN2_4 |
chẵn	CHI AN3_3 NC_3 |
hới	HI ƠN_5 IC_5 |
nhác	NHI AN1_5 KC_5 |
ăng	AN3_0 NGC_0 |
òa	WO_4 AN2_4 |
lùa	LI UÔN_4 |
sỡ	SI ƠC_3 |
gẫy	GI ÂN_3 YC_3 |
dát	ZI AN2_5 TC_5 |
ngắc	NGI AN3_5 KC_5 |
nom	NI ON2_0 MC_0 |
râm	RI ÂN_0 MC_0 |
tắp	TI AN3_5 PC_5 |
phới	PHI ƠN_5 IC_5 |
bếch	BI ÊN_5 KC_5 |
bở	BI ƠC_2 |
tăn	TI AN3_0 NC_0 |
bộn	BI ÔN_1 NC_1 |
nhơ	NHI ƠC_0 |
vỹ	VI IN_3 |
gừng	GI ƯN_4 NGC_4 |
bẹp	BI EN_1 PC_1 |
tì	TI IN_4 |
tiệt	TI IÊN_1 TC_1 |
đọ	DI ON2_1 |
xan	XI AN2_0 NC_0 |
rờn	RI ƠN_4 NC_4 |
ngoắc	NGI WO_5 AN3_5 KC_5 |
loi	LI ON2_0 IC_0 |
toạ	TI WO_1 AN2_1 |
kông	KI ÔN_0 NGC_0 |
giồi	ZI ÔN_4 IC_4 |
duoc	ZI WO_0 ON1_0 KC_0 |
trét	TRI EN_5 TC_5 |
dợ	ZI ƠC_1 |
quyệt	KI WO_1 YÊN_1 TC_1 |
chòm	CHI ON2_4 MC_4 |
ngóc	NGI ON1_5 KC_5 |
sắng	SI AN3_5 NGC_5 |
tuông	TI UÔN_0 NGC_0 |
xói	XI ON2_5 IC_5 |
nắn	NI AN3_5 NC_5 |
ghẹo	GI EN_1 UC_1 |
hòi	HI ON2_4 IC_4 |
un	UN_0 NC_0 |
quàng	KI UÔN_4 NGC_4 |
siêng	SI IÊN_0 NGC_0 |
khay	KHI AN3_0 YC_0 |
bặm	BI AN3_1 MC_1 |
xốp	XI ÔN_5 PC_5 |
xó	XI ON2_5 |
xiêm	XI IÊN_0 MC_0 |
ọp	ON2_1 PC_1 |
rìa	RI IAN_4 |
liệp	LI IÊN_1 PC_1 |
lìm	LI IN_4 MC_4 |
nẩy	NI ÂN_2 YC_2 |
phụt	PHI UN_1 TC_1 |
chổ	CHI ÔN_2 |
up	UN_0 PC_0 |
tủa	TI UÔN_2 |
phèn	PHI EN_4 NC_4 |
sẫm	SI ÂN_3 MC_3 |
ngải	NGI AN2_2 IC_2 |
bợ	BI ƠC_1 |
nịu	NI IN_1 UC_1 |
múi	MI UN_5 IC_5 |
chuốc	CHI UÔN_5 KC_5 |
liệng	LI IÊN_1 NGC_1 |
rôn	RI ÔN_0 NC_0 |
nhậm	NHI ÂN_1 MC_1 |
láy	LI AN3_5 YC_5 |
bùm	BI UN_4 MC_4 |
dích	ZI IN_5 KC_5 |
hon	HI ON2_0 NC_0 |
nghen	NGI EN_0 NC_0 |
chẻ	CHI EN_2 |
suôn	SI UÔN_0 NC_0 |
lem	LI EN_0 MC_0 |
xạo	XI AN2_1 UC_1 |
nghén	NGI EN_5 NC_5 |
đán	DI AN2_5 NC_5 |
ghềnh	GI ÊN_4 NGC_4 |
lẩy	LI ÂN_2 YC_2 |
tã	TI AN2_3 |
vẹt	VI EN_1 TC_1 |
giũ	ZI UN_3 |
nin	NI IN_0 NC_0 |
lững	LI ƯN_3 NGC_3 |
lòe	LI WO_4 EN_4 |
xỏ	XI ON2_2 |
muống	MI UÔN_5 NGC_5 |
lạp	LI AN2_1 PC_1 |
quây	KI WO_0 ÂN_0 YC_0 |
chịt	CHI IN_1 TC_1 |
áng	AN1_5 NGC_5 |
toản	TI WO_2 AN2_2 NC_2 |
lải	LI AN2_2 IC_2 |
hẻo	HI EN_2 UC_2 |
chường	CHI ƯƠN_4 NGC_4 |
nực	NI ƯN_1 KC_1 |
vịn	VI IN_1 NC_1 |
miết	MI IÊN_5 TC_5 |
ưỡn	ƯƠN_3 NC_3 |
rỗ	RI ÔN_3 |
típ	TI IN_5 PC_5 |
goép	GI WO_5 EN_5 PC_5 |
ố	ÔN_5 |
nguoi	NGI WO_0 ON2_0 IC_0 |
sun	SI UN_0 NC_0 |
chồi	CHI ÔN_4 IC_4 |
ẵm	AN3_3 MC_3 |
trặc	TRI AN3_1 KC_1 |
sá	SI AN2_5 |
mẩu	MI ÂN_2 UC_2 |
hẫng	HI ÂN_3 NGC_3 |
bỡ	BI ƠC_3 |
khế	KHI ÊN_5 |
rôm	RI ÔN_0 MC_0 |
phình	PHI IN_4 NGC_4 |
buồm	BI UÔN_4 MC_4 |
giũa	ZI UÔN_3 |
ria	RI IAN_0 |
dũ	ZI UN_3 |
bống	BI ÔN_5 NGC_5 |
kèo	KI EN_4 UC_4 |
chầu	CHI ÂN_4 UC_4 |
xoát	XI WO_5 AN2_5 TC_5 |
quýnh	KI WO_5 IN_5 NGC_5 |
chòng	CHI ON1_4 NGC_4 |
lênh	LI ÊN_0 NGC_0 |
rinh	RI IN_0 NGC_0 |
bót	BI ON2_5 TC_5 |
sà	SI AN2_4 |
thừ	THI ƯC_4 |
khuỷu	KHI WO_2 IN_2 UC_2 |
vờn	VI ƠN_4 NC_4 |
thé	THI EN_5 |
sấn	SI ÂN_5 NC_5 |
xoá	XI WO_5 AN2_5 |
q	KI |
muoi	MI WO_0 ON2_0 IC_0 |
xỉn	XI IN_2 NC_2 |
gán	GI AN2_5 NC_5 |
giỗ	ZI ÔN_3 |
